X,Y,Pressure,Time
361.511215552232,277.40141605884,0.04981685,0
361.511215552232,277.40141605884,0.1843712,1
361.511215552232,277.40141605884,0.2026862,14
361.511215552232,277.40141605884,0.2026862,14
361.511215552232,277.40141605884,0.218315,14
361.511215552232,277.40141605884,0.2737485,14
361.511215552232,277.40141605884,0.218315,30
361.511215552232,277.40141605884,0.2737485,30
361.511215552232,277.40141605884,0.3330891,46
361.511215552232,277.40141605884,0.3330891,46
361.511215552232,277.40141605884,0.3814408,46
361.511215552232,277.40141605884,0.3814408,47
356.636066774499,280.038215277566,0.4129426,61
356.636066774499,280.038215277566,0.4129426,61
356.636066774499,280.038215277566,0.4315018,61
357.573595385601,279.932743308817,0.4420024,61
356.636066774499,280.038215277566,0.4315018,62
357.573595385601,279.932743308817,0.4420024,62
359.776787621693,278.667079683828,0.4617827,77
359.776787621693,278.667079683828,0.4617827,77
363.714407788324,276.109384441664,0.4930403,77
369.808343760491,271.574089785455,0.523077,77
378.29297769097,264.744779808954,0.5404152,77
363.714407788324,276.109384441664,0.4930403,93
369.808343760491,271.574089785455,0.523077,93
378.29297769097,264.744779808954,0.5404152,93
388.465163121433,256.649806207465,0.5516484,108
399.012359996338,247.922000793481,0.5575092,110
409.418927579577,239.115091402936,0.5606838,110
419.2161015656,230.545493942076,0.5636142,124
419.2161015656,230.545493942076,0.5636142,124
428.685140537736,221.817688528092,0.5638584,124
438.201055940428,213.010779137547,0.5660562,124
447.295083468123,204.282973723563,0.5677656,124
428.685140537736,221.817688528092,0.5638584,139
438.201055940428,213.010779137547,0.5660562,139
447.295083468123,204.282973723563,0.5677656,139
455.873470259713,195.818848231452,0.5692308,155
463.654957731864,187.908450575274,0.5709402,171
470.8270516068,180.446308786279,0.5709402,186
470.8270516068,180.446308786279,0.5709402,186
476.920987578967,173.722470778527,0.570696,186
481.561754203925,167.710568559832,0.570696,186
476.920987578967,173.722470778527,0.570696,187
481.561754203925,167.710568559832,0.570696,187
484.702475051118,162.806122013001,0.5709402,202
486.202520828883,159.06186712241,0.5711844,203
486.718161564989,156.425067903684,0.5760684,203
486.718161564989,154.078316599017,0.5846154,218
484.468092898343,147.064430677206,0.6576313,233
486.108767967772,149.252974028748,0.6339439,233
486.718161564989,151.705197302164,0.6205128,233
465.389385662404,149.252974028748,0.7086691,249
472.74898525956,145.429615161595,0.6996337,249
478.23352763451,145.060463270974,0.6932845,249
482.077394940031,145.508719138157,0.6842491,249
482.077394940031,145.508719138157,0.6842491,249
465.389385662404,149.252974028748,0.7086691,264
472.74898525956,145.429615161595,0.6996337,264
478.23352763451,145.060463270974,0.6932845,264
456.998504593036,155.159404278695,0.7113553,280
448.513870662557,163.333481856746,0.7115995,281
432.247749259926,183.715939817499,0.7118437,296
440.122989593188,173.168742942595,0.7118437,296
440.122989593188,173.168742942595,0.7118437,296
432.247749259926,183.715939817499,0.7118437,297
424.747520371105,194.632288583026,0.7120879,311
412.934659871212,215.093850520341,0.7125763,327
418.091067232276,205.284957426679,0.7120879,327
406.98135319071,236.293716238899,0.7279609,343
407.590746787927,230.835541856136,0.7186813,343
409.512680440687,223.637079989013,0.7147741,343
409.512680440687,223.637079989013,0.7147741,343
406.98135319071,236.293716238899,0.7279609,344
407.590746787927,230.835541856136,0.7186813,344
406.98135319071,240.196179082614,0.735287,358
406.98135319071,240.196179082614,0.735287,358
407.496993926817,242.648402356029,0.7411478,358
407.496993926817,242.648402356029,0.7411478,359
409.418927579577,244.573265785699,0.7411478,374
409.418927579577,244.573265785699,0.7411478,374
413.450300607318,246.656337168493,0.7391942,374
413.450300607318,246.656337168493,0.7391942,375
420.294259468368,248.554832605976,0.7374848,389
420.294259468368,248.554832605976,0.7374848,389
429.90392773217,250.479696035646,0.7369964,389
429.90392773217,250.479696035646,0.7369964,390
440.544877468184,252.299087496567,0.7369964,405
440.544877468184,252.299087496567,0.7369964,405
450.107669301431,254.19758293405,0.7384616,405
450.107669301431,254.19758293405,0.7384616,406
457.092257454146,256.280654316843,0.740171,421
460.936124759667,258.838349559008,0.740171,422
463.045564134648,263.215436262093,0.7399268,422
444.576250495926,304.955967894528,0.7518926,436
453.857783745842,291.851075777459,0.7472528,436
459.811090426344,279.748167363506,0.7435898,436
463.045564134648,270.387530137028,0.7399268,436
463.045564134648,270.387530137028,0.7399268,436
444.576250495926,304.955967894528,0.7518926,452
453.857783745842,291.851075777459,0.7472528,452
459.811090426344,279.748167363506,0.7435898,452
433.46653645436,317.955388042848,0.754823,468
394.46534623249,353.604913480026,0.757265,483
407.262611774041,343.136820581683,0.757265,483
420.716147343364,330.954808191168,0.757265,483
383.215002899258,361.805359050264,0.758486,499
370.089602343822,370.243116550188,0.784127,500
375.152256843776,367.158061464278,0.7636142,500
367.183263649403,371.429676198614,0.8075702,514
363.948789941099,370.981420331431,0.8691087,530
365.355082857753,371.429676198614,0.839072,530
363.105014191107,367.342637409589,0.8854701,546
363.105014191107,367.342637409589,0.8854701,546
363.526902066103,359.43223975341,0.8854701,546
363.526902066103,359.43223975341,0.8854701,547
368.683309427168,346.617395550401,0.8796093,561
368.683309427168,346.617395550401,0.8796093,561
377.167943357646,331.5085360271,0.8747253,561
388.277657399213,316.215100558489,0.8671551,561
377.167943357646,331.5085360271,0.8747253,562
388.277657399213,316.215100558489,0.8671551,562
400.090517899106,303.321152378918,0.8336996,577
400.090517899106,303.321152378918,0.8336996,577
410.497085482345,294.224195074313,0.7894994,577
419.919248023927,287.02573320719,0.7306471,577
