X,Y,Pressure,Time
274.883571886349,289.583428449355,0.1763126,0
274.883571886349,289.583428449355,0.164591,15
274.883571886349,289.583428449355,0.1697192,15
274.883571886349,289.583428449355,0.1763126,15
280.039979247414,287.948612933744,0.164591,31
280.039979247414,287.948612933744,0.164591,31
282.47755363628,286.392901394696,0.1748474,31
285.290139469588,284.204358043153,0.1943834,31
288.243354594562,281.382982879116,0.210989,31
282.47755363628,286.392901394696,0.1748474,46
285.290139469588,284.204358043153,0.1943834,46
288.243354594562,281.382982879116,0.210989,46
291.899716177862,277.11136814478,0.2241758,62
291.899716177862,277.11136814478,0.2241758,62
295.931089205603,270.75668202765,0.2368742,62
300.571855830561,261.844300668355,0.2395604,62
305.118869594409,251.297103793451,0.242735,62
295.931089205603,270.75668202765,0.2368742,77
300.571855830561,261.844300668355,0.2395604,77
305.118869594409,251.297103793451,0.242735,77
309.15024262215,239.642451246681,0.242735,94
312.71285134434,227.724118778039,0.245177,94
315.806695760979,216.016730246895,0.2468864,94
318.666158024842,203.913821832942,0.2485958,109
320.963103122043,192.443745231483,0.24884,124
322.791283913694,182.160228278451,0.24884,124
323.916318247017,173.537894833216,0.2507937,140
324.431958983123,167.525992614521,0.2547009,141
324.619464705344,160.433002716147,0.2793651,156
324.619464705344,161.434986419263,0.2703297,156
324.619464705344,163.623529770806,0.2649573,156
324.619464705344,163.623529770806,0.2649573,156
324.619464705344,160.433002716147,0.2793651,157
324.619464705344,161.434986419263,0.2703297,157
324.103823969237,159.53649098178,0.3255189,171
324.197576830348,159.53649098178,0.3255189,171
324.431958983123,159.615594958342,0.3233211,171
324.619464705344,159.879274880215,0.2979243,171
324.619464705344,159.879274880215,0.2979243,171
324.103823969237,159.53649098178,0.3255189,187
324.197576830348,159.53649098178,0.3255189,187
324.431958983123,159.615594958342,0.3233211,187
324.010071108127,160.169322794275,0.3201465,202
324.010071108127,160.169322794275,0.3201465,202
324.010071108127,161.988714255196,0.3172161,202
324.010071108127,165.522025208289,0.3169719,202
324.103823969237,171.533927426984,0.3172161,202
324.010071108127,161.988714255196,0.3172161,218
324.010071108127,165.522025208289,0.3169719,218
324.103823969237,171.533927426984,0.3172161,218
325.228858302561,180.815460676901,0.3181929,234
325.228858302561,180.815460676901,0.3181929,234
326.728904080325,191.89001739555,0.3184371,234
326.728904080325,191.89001739555,0.3184371,235
328.463332010865,204.177501754814,0.3203907,249
328.463332010865,204.177501754814,0.3203907,249
330.479018524735,216.8341380047,0.3242979,249
330.479018524735,216.8341380047,0.3242979,250
332.494705038606,228.726102481155,0.3330891,265
332.494705038606,228.726102481155,0.3330891,265
334.510391552477,240.829010895108,0.3418804,265
336.666707358013,252.668239387188,0.3472528,265
334.510391552477,240.829010895108,0.3418804,266
336.666707358013,252.668239387188,0.3472528,266
338.448011719108,263.848268074587,0.3518926,281
339.994933927427,274.949192785424,0.352381,296
341.073091830195,286.313797418134,0.3567766,296
341.588732566301,297.757506027406,0.3567766,312
341.588732566301,309.412158574175,0.3636142,313
340.182439649648,331.877687917722,0.3677656,327
341.588732566301,320.855867183447,0.3638584,327
341.588732566301,320.855867183447,0.3638584,327
340.182439649648,331.877687917722,0.3677656,328
330.994659260842,362.886446729942,0.3711844,343
335.026032288583,352.708401745659,0.368254,343
338.073000274667,342.319412823878,0.3680098,343
338.073000274667,342.319412823878,0.3680098,343
330.994659260842,362.886446729942,0.3711844,344
335.026032288583,352.708401745659,0.368254,344
305.118869594409,397.982244331187,0.3916972,359
312.478469191565,390.44099856563,0.3858364,359
319.463057344279,381.976873073519,0.3814408,359
325.744499038667,372.616235847041,0.3733822,359
325.744499038667,372.616235847041,0.3733822,359
305.118869594409,397.982244331187,0.3916972,374
312.478469191565,390.44099856563,0.3858364,374
319.463057344279,381.976873073519,0.3814408,374
283.790093691824,414.541343424787,0.4007326,390
290.587176122318,410.08515274514,0.3960928,390
297.759269997253,404.547874385815,0.3916972,390
297.759269997253,404.547874385815,0.3916972,390
283.790093691824,414.541343424787,0.4007326,406
290.587176122318,410.08515274514,0.3960928,406
274.508560441908,419.182110049745,0.4148962,421
278.446180608539,417.441822565386,0.4100122,421
278.446180608539,417.441822565386,0.4100122,421
274.508560441908,419.182110049745,0.4148962,422
268.13336588641,419.366685995056,0.4529915,437
270.055299539171,419.735837885678,0.4476191,437
271.977233191931,419.735837885678,0.4273504,437
271.977233191931,419.735837885678,0.4273504,437
268.13336588641,419.366685995056,0.4529915,438
270.055299539171,419.735837885678,0.4476191,438
